journal;year;url;jel
American Economic Review;2022;https://www.aeaweb.org/articles?id=10.1257/aer.20200505;D81
American Economic Review;2022;https://www.aeaweb.org/articles?id=10.1257/aer.20200505;D83
American Economic Review;2022;https://www.aeaweb.org/articles?id=10.1257/aer.20200505;G11
American Economic Review;2022;https://www.aeaweb.org/articles?id=10.1257/aer.20200505;G12
American Economic Review;2022;https://www.aeaweb.org/articles?id=10.1257/aer.20200505;G41
American Economic Review;2022;https://www.aeaweb.org/articles?id=10.1257/aer.20210122;C93
American Economic Review;2022;https://www.aeaweb.org/articles?id=10.1257/aer.20210122;L14
American Economic Review;2022;https://www.aeaweb.org/articles?id=10.1257/aer.20210122;L15
American Economic Review;2022;https://www.aeaweb.org/articles?id=10.1257/aer.20210122;L22
American Economic Review;2022;https://www.aeaweb.org/articles?id=10.1257/aer.20210122;O13
American Economic Review;2022;https://www.aeaweb.org/articles?id=10.1257/aer.20210122;Q12
American Economic Review;2022;https://www.aeaweb.org/articles?id=10.1257/aer.20210122;Q13
American Economic Review;2022;https://www.aeaweb.org/articles?id=10.1257/aer.20200224;I21
American Economic Review;2022;https://www.aeaweb.org/articles?id=10.1257/aer.20200224;I26
American Economic Review;2022;https://www.aeaweb.org/articles?id=10.1257/aer.20200224;I28
American Economic Review;2022;https://www.aeaweb.org/articles?id=10.1257/aer.20200224;J13
American Economic Review;2022;https://www.aeaweb.org/articles?id=10.1257/aer.20200224;J24
American Economic Review;2022;https://www.aeaweb.org/articles?id=10.1257/aer.20200224;J31
American Economic Review;2022;https://www.aeaweb.org/articles?id=10.1257/aer.20200224;Z13
American Economic Review;2022;https://www.aeaweb.org/articles?id=10.1257/aer.20181756;I23
American Economic Review;2022;https://www.aeaweb.org/articles?id=10.1257/aer.20181756;I26
American Economic Review;2022;https://www.aeaweb.org/articles?id=10.1257/aer.20181756;I28
American Economic Review;2022;https://www.aeaweb.org/articles?id=10.1257/aer.20181756;J24
American Economic Review;2022;https://www.aeaweb.org/articles?id=10.1257/aer.20181756;J31
American Economic Review;2022;https://www.aeaweb.org/articles?id=10.1257/aer.20210778;C93
American Economic Review;2022;https://www.aeaweb.org/articles?id=10.1257/aer.20210778;D12
American Economic Review;2022;https://www.aeaweb.org/articles?id=10.1257/aer.20210778;D72
American Economic Review;2022;https://www.aeaweb.org/articles?id=10.1257/aer.20210778;D83
American Economic Review;2022;https://www.aeaweb.org/articles?id=10.1257/aer.20210778;O17
American Economic Review;2022;https://www.aeaweb.org/articles?id=10.1257/aer.20201272;D25
American Economic Review;2022;https://www.aeaweb.org/articles?id=10.1257/aer.20201272;G31
American Economic Review;2022;https://www.aeaweb.org/articles?id=10.1257/aer.20201272;G32
American Economic Review;2022;https://www.aeaweb.org/articles?id=10.1257/aer.20201272;H25
American Economic Review;2022;https://www.aeaweb.org/articles?id=10.1257/aer.20201272;H32
American Economic Review;2022;https://www.aeaweb.org/articles?id=10.1257/aer.20201272;L25
American Economic Review;2022;https://www.aeaweb.org/articles?id=10.1257/aer.20210220;D21
American Economic Review;2022;https://www.aeaweb.org/articles?id=10.1257/aer.20210220;G31
American Economic Review;2022;https://www.aeaweb.org/articles?id=10.1257/aer.20210220;L14
American Economic Review;2022;https://www.aeaweb.org/articles?id=10.1257/aer.20201015;D22
American Economic Review;2022;https://www.aeaweb.org/articles?id=10.1257/aer.20201015;G32
American Economic Review;2022;https://www.aeaweb.org/articles?id=10.1257/aer.20201015;G34
American Economic Review;2022;https://www.aeaweb.org/articles?id=10.1257/aer.20201015;K42
American Economic Review;2022;https://www.aeaweb.org/articles?id=10.1257/aer.20201015;L25
American Economic Review;2022;https://www.aeaweb.org/articles?id=10.1257/aer.20201157;J22
American Economic Review;2022;https://www.aeaweb.org/articles?id=10.1257/aer.20201157;J24
American Economic Review;2022;https://www.aeaweb.org/articles?id=10.1257/aer.20201157;J43
American Economic Review;2022;https://www.aeaweb.org/articles?id=10.1257/aer.20201157;L16
American Economic Review;2022;https://www.aeaweb.org/articles?id=10.1257/aer.20201157;O13
American Economic Review;2022;https://www.aeaweb.org/articles?id=10.1257/aer.20201157;O14
American Economic Review;2022;https://www.aeaweb.org/articles?id=10.1257/aer.20201157;Q10
American Economic Review;2022;https://www.aeaweb.org/articles?id=10.1257/aer.20201739;D43
American Economic Review;2022;https://www.aeaweb.org/articles?id=10.1257/aer.20201739;E12
American Economic Review;2022;https://www.aeaweb.org/articles?id=10.1257/aer.20201739;E21
American Economic Review;2022;https://www.aeaweb.org/articles?id=10.1257/aer.20201739;E31
American Economic Review;2022;https://www.aeaweb.org/articles?id=10.1257/aer.20201739;E43
American Economic Review;2022;https://www.aeaweb.org/articles?id=10.1257/aer.20201739;E51
American Economic Review;2022;https://www.aeaweb.org/articles?id=10.1257/aer.20201739;E52
