journal;year;url;jel
Environmental & Resource Economics;2023;https://link.springer.com/article/10.1007/s10640-022-00738-2;Q00
Environmental & Resource Economics;2023;https://link.springer.com/article/10.1007/s10640-022-00738-2;Q56
Environmental & Resource Economics;2023;https://link.springer.com/article/10.1007/s10640-022-00716-8;F17
Environmental & Resource Economics;2023;https://link.springer.com/article/10.1007/s10640-022-00716-8;F18
Environmental & Resource Economics;2023;https://link.springer.com/article/10.1007/s10640-022-00716-8;Q15
Environmental & Resource Economics;2023;https://link.springer.com/article/10.1007/s10640-022-00716-8;Q17
Environmental & Resource Economics;2023;https://link.springer.com/article/10.1007/s10640-022-00716-8;Q18
Environmental & Resource Economics;2023;https://link.springer.com/article/10.1007/s10640-022-00716-8;Q54
Environmental & Resource Economics;2023;https://link.springer.com/article/10.1007/s10640-022-00722-w;D62
Environmental & Resource Economics;2023;https://link.springer.com/article/10.1007/s10640-022-00722-w;D64
Environmental & Resource Economics;2023;https://link.springer.com/article/10.1007/s10640-022-00722-w;F35
Environmental & Resource Economics;2023;https://link.springer.com/article/10.1007/s10640-022-00722-w;F53
Environmental & Resource Economics;2023;https://link.springer.com/article/10.1007/s10640-022-00722-w;Q54
Environmental & Resource Economics;2023;https://link.springer.com/article/10.1007/s10640-022-00724-8;I15
Environmental & Resource Economics;2023;https://link.springer.com/article/10.1007/s10640-022-00724-8;I25
Environmental & Resource Economics;2023;https://link.springer.com/article/10.1007/s10640-022-00724-8;J24
Environmental & Resource Economics;2023;https://link.springer.com/article/10.1007/s10640-022-00724-8;K14
Environmental & Resource Economics;2023;https://link.springer.com/article/10.1007/s10640-022-00724-8;K42
Environmental & Resource Economics;2023;https://link.springer.com/article/10.1007/s10640-022-00724-8;Q53
Environmental & Resource Economics;2023;https://link.springer.com/article/10.1007/s10640-022-00718-6;Q12
Environmental & Resource Economics;2023;https://link.springer.com/article/10.1007/s10640-022-00718-6;Q15
Environmental & Resource Economics;2023;https://link.springer.com/article/10.1007/s10640-022-00718-6;Q57
